la_name,slope,ci_lo,ci_hi,std_err,intercept,r_squared,p_value,n_years,mean_ksi,trend_shape,ci_includes_zero
Preston,4.172727272727274,0.8974971848911242,7.447957360563423,1.4478348991914805,-8337.100000000002,0.4799548933843632,0.018117507647844637,11,87.63636363636364,Non-linear,False
Sutton,4.081818181818183,1.5891999437399829,6.574436419896383,1.1018766861155371,-8188.736363636367,0.6039212749385899,0.004886975475674765,11,52.45454545454545,Linear,False
Newham,3.9363636363636365,-1.4762870134224215,9.349014286149695,2.3926943444358533,-7845.245454545455,0.23119959553111205,0.13434648908771266,11,102.27272727272727,Non-linear,True
Birmingham,3.8,-5.753391993673151,13.35339199367315,4.2231336312725105,-7265.109090909091,0.08253611344676752,0.39166329480842743,11,407.09090909090907,Non-linear,True
Redbridge,3.7454545454545447,0.9279155355852611,6.562993555323828,1.2455098417275638,-7483.981818181816,0.5011928664225815,0.014783612313225702,11,78.0909090909091,Linear,False
Bromley,3.4727272727272727,-0.4698101994105306,7.415264744865076,1.7428220889673363,-6920.254545454545,0.30611285924061266,0.07747280537112024,11,91.18181818181819,Non-linear,True
Caerphilly,3.4454545454545453,2.1025174771335657,4.788391613775525,0.5936533015357052,-6913.827272727272,0.7891495440061529,0.0002582372201606095,11,42.54545454545455,Linear,False
King's Lynn and West Norfolk,3.327272727272728,1.4491468958964207,5.205398558649035,0.8302366706505616,-6646.4909090909105,0.6408764711510861,0.0030748897779155483,11,71.27272727272727,Linear,False
Barnet,3.2181818181818187,-2.0706973302711047,8.507060966634743,2.337980417673587,-6383.054545454547,0.1739099059091288,0.20194733053285654,11,114.45454545454545,Non-linear,True
South Lanarkshire,3.0090909090909093,-0.1219285297270476,6.140110347908866,1.3840857258863657,-5987.99090909091,0.34433653906593753,0.057730082699075126,11,87.36363636363636,Non-linear,True
Blackburn with Darwen,2.9272727272727272,0.24069885267166935,5.613846601873785,1.1876159263892543,-5832.072727272727,0.40300062189054736,0.03587319256183447,11,78.0909090909091,Non-linear,False
Carmarthenshire,2.8454545454545457,-2.1677695717370042,7.858678662646096,2.216125475060499,-5656.518181818183,0.15481826801517068,0.23121753672855946,11,88.45454545454545,Non-linear,True
Kingston upon Thames,2.8,1.3449257646541684,4.255074235345831,0.6432242017658959,-5604.2,0.6779874213836476,0.0018419858252552042,11,49.0,Linear,False
Salford,2.7454545454545456,0.013954182160289097,5.476954908748802,1.2074759473599088,-5475.709090909091,0.36484518761500917,0.04906425879191811,11,67.36363636363636,Non-linear,False
Arun,2.7,0.9141254089011079,4.485874591098892,0.7894564623643149,-5376.209090909091,0.5651524859046642,0.007627032037915078,11,75.0909090909091,Linear,False
Hillingdon,2.6454545454545455,-1.0891106972152311,6.380019788124322,1.6508867305921322,-5251.172727272728,0.2219801824473105,0.14352104840129876,11,90.0,Non-linear,True
Cotswold,2.5909090909090904,0.24317674190740046,4.93864143991078,1.0378290189350166,-5167.499999999998,0.4091527302035057,0.03405851955812797,11,63.54545454545455,Non-linear,False
Wyre,2.545454545454545,0.635128365999237,4.455780724909853,0.8444710256316162,-5077.727272727271,0.50237088299372,0.014614624412738893,11,61.54545454545455,Linear,False
Haringey,2.4818181818181815,-1.8445152184128952,6.808151582049258,1.9124813568535024,-4913.427272727273,0.15761991371288375,0.22666396662306776,11,97.36363636363636,Non-linear,True
Dundee City,2.2636363636363637,0.6864002918002947,3.8408724354724324,0.6972265666308151,-4532.372727272727,0.5394205672524794,0.010051431809467194,11,37.90909090909091,Linear,False
Havering,2.245454545454546,-0.2924870571005771,4.783396148009669,1.1219121483818901,-4461.118181818183,0.30800181744749616,0.07637367815110897,11,72.45454545454545,Non-linear,True
Tewkesbury,2.2272727272727275,0.5367765625399006,3.9177688920055544,0.7472938629073749,-4453.227272727273,0.4967312148295268,0.015438278394807286,11,43.63636363636363,Non-linear,False
Wigan,2.2181818181818183,-0.952841860683062,5.3892054970466985,1.401769837628828,-4407.145454545455,0.2176659842059082,0.1480141711491993,11,71.36363636363636,Non-linear,True
Fife,2.2,-0.6115284668440295,5.01152846684403,1.2428528455099932,-4350.618181818182,0.2582414675015433,0.11048541540971671,11,91.18181818181819,Non-linear,True
Bassetlaw,2.1909090909090914,0.43625115717559915,3.9455670246425836,0.7756569537015238,-4364.6272727272735,0.4699110032362462,0.01989750420959391,11,58.81818181818182,Non-linear,False
Crawley,2.181818181818182,0.12508318210219205,4.238553181534172,0.9091919135808701,-4353.09090909091,0.3901910310256064,0.03991533171271782,11,52.0,Non-linear,False
Swale,2.172727272727273,0.5534469360058805,3.792007609448665,0.7158124834608718,-4321.372727272727,0.505853701735742,0.01412426726171549,11,65.36363636363636,Linear,False
Bury,2.0909090909090913,0.21659020757646585,3.9652279742417167,0.8285537866731819,-4180.909090909091,0.41438195206015976,0.03257754707795418,11,40.63636363636363,Non-linear,False
Camden,2.0363636363636357,-3.8944147903052158,7.967142063032487,2.6217358033542455,-4003.3272727272715,0.0628220858895705,0.457249380479971,11,108.0909090909091,Non-linear,True
North Norfolk,2.027272727272728,0.5748652561611216,3.479680198384334,0.6420453428086073,-4049.3363636363647,0.5255654195730292,0.011596336747610776,11,43.72727272727273,Linear,False
North East Lincolnshire,1.990909090909091,-0.6590600137608431,4.640878195579025,1.1714345705877234,-3945.0090909090914,0.2429635258358663,0.12343488679566783,11,74.63636363636364,Non-linear,True
