la_name,slope,ci_lo,ci_hi,std_err,intercept,r_squared,p_value,n_years,mean_ksi,trend_shape,ci_includes_zero
Caerphilly,3.4454545454545453,2.1025174771335657,4.788391613775525,0.5936533015357052,-6913.827272727272,0.7891495440061529,0.0002582372201606095,11,42.54545454545455,Linear,False
King's Lynn and West Norfolk,3.327272727272728,1.4491468958964207,5.205398558649035,0.8302366706505616,-6646.4909090909105,0.6408764711510861,0.0030748897779155483,11,71.27272727272727,Linear,False
Blackburn with Darwen,2.9272727272727272,0.24069885267166935,5.613846601873785,1.1876159263892543,-5832.072727272727,0.40300062189054736,0.03587319256183447,11,78.0909090909091,Non-linear,False
Kingston upon Thames,2.8,1.3449257646541684,4.255074235345831,0.6432242017658959,-5604.2,0.6779874213836476,0.0018419858252552042,11,49.0,Linear,False
Salford,2.7454545454545456,0.013954182160289097,5.476954908748802,1.2074759473599088,-5475.709090909091,0.36484518761500917,0.04906425879191811,11,67.36363636363636,Non-linear,False
Arun,2.7,0.9141254089011079,4.485874591098892,0.7894564623643149,-5376.209090909091,0.5651524859046642,0.007627032037915078,11,75.0909090909091,Linear,False
Cotswold,2.5909090909090904,0.24317674190740046,4.93864143991078,1.0378290189350166,-5167.499999999998,0.4091527302035057,0.03405851955812797,11,63.54545454545455,Non-linear,False
Wyre,2.545454545454545,0.635128365999237,4.455780724909853,0.8444710256316162,-5077.727272727271,0.50237088299372,0.014614624412738893,11,61.54545454545455,Linear,False
Dundee City,2.2636363636363637,0.6864002918002947,3.8408724354724324,0.6972265666308151,-4532.372727272727,0.5394205672524794,0.010051431809467194,11,37.90909090909091,Linear,False
Tewkesbury,2.2272727272727275,0.5367765625399006,3.9177688920055544,0.7472938629073749,-4453.227272727273,0.4967312148295268,0.015438278394807286,11,43.63636363636363,Non-linear,False
Bassetlaw,2.1909090909090914,0.43625115717559915,3.9455670246425836,0.7756569537015238,-4364.6272727272735,0.4699110032362462,0.01989750420959391,11,58.81818181818182,Non-linear,False
Crawley,2.181818181818182,0.12508318210219205,4.238553181534172,0.9091919135808701,-4353.09090909091,0.3901910310256064,0.03991533171271782,11,52.0,Non-linear,False
Swale,2.172727272727273,0.5534469360058805,3.792007609448665,0.7158124834608718,-4321.372727272727,0.505853701735742,0.01412426726171549,11,65.36363636363636,Linear,False
Bury,2.0909090909090913,0.21659020757646585,3.9652279742417167,0.8285537866731819,-4180.909090909091,0.41438195206015976,0.03257754707795418,11,40.63636363636363,Non-linear,False
North Norfolk,2.027272727272728,0.5748652561611216,3.479680198384334,0.6420453428086073,-4049.3363636363647,0.5255654195730292,0.011596336747610776,11,43.72727272727273,Linear,False
Canterbury,1.8454545454545457,0.20552760109588042,3.4853814898132107,0.7249394389068956,-3664.8818181818187,0.4186204794798863,0.03141729274475414,11,61.09090909090909,Non-linear,False
Forest of Dean,1.8454545454545457,0.34718138238174534,3.343727708527346,0.6623205441581574,-3691.0636363636368,0.4631265452910767,0.021179922862134975,11,34.90909090909091,Non-linear,False
Woking,1.7727272727272727,0.34703107143031686,3.1984234740242288,0.6302374674526131,-3537.2272727272725,0.4678272637795275,0.020284333053078012,11,41.90909090909091,Non-linear,False
Hyndburn,1.7636363636363641,0.2191404912949768,3.3081322359777516,0.682753567127379,-3518.9636363636373,0.4257466063348418,0.02954488357490264,11,41.81818181818182,Non-linear,False
Babergh,1.7545454545454544,0.4212305162453398,3.087860392845569,0.5893997818515445,-3505.063636363636,0.49612413425679275,0.015529170723694957,11,37.36363636363637,Non-linear,False
Cheltenham,1.7363636363636363,0.6577264610958595,2.815000811631413,0.47681796516157665,-3472.172727272727,0.5957054212932723,0.005387750735984186,11,33.54545454545455,Linear,False
Great Yarmouth,1.6545454545454548,0.019712599689628352,3.289378309401281,0.7226875664081645,-3303.8000000000006,0.36804444444444445,0.047818912011926645,11,36.72727272727273,Non-linear,False
Gloucester,1.5636363636363637,0.43607384925135384,2.691198878021374,0.4984457016958082,-3112.072727272727,0.522316384180791,0.01198531826291487,11,44.90909090909091,Linear,False
Epsom and Ewell,1.5090909090909093,0.3024513030120417,2.715730515169777,0.5334021994106214,-3016.127272727273,0.47072087461564743,0.01974881720967602,11,30.727272727272727,Non-linear,False
East Ayrshire,1.4909090909090912,0.2664863061913678,2.7153318756268146,0.5412633590731177,-2974.509090909092,0.4574149659863947,0.022312024807115118,11,35.63636363636363,Non-linear,False
Wyre Forest,1.1818181818181817,0.23642146320889845,2.127214900427465,0.41791823049840765,-2350.727272727272,0.47048997772828494,0.019791114243470156,11,35.36363636363637,Non-linear,False
